sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS
AF-12-lo,"[('2013_Validation_GEO_Allegany_R0013126.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013128.png', 'SIGN')]",missed,0.22727272727272727,0.5772727234627273,1.0,0.9951270856073601,1.0,2570.5954375795245,35.79090885468909,61.76818141051182,66.38636319821364,30.595454343524548,30.595454343524544,65.41097135512143,34.815517011596896,26.375391675452192,2570.5954375795245,35.79090885468909,61.76818141051182,66.38636319821364,30.595454343524548,89.4895956610063,22.396413735127226,49.37568064500085
AF-13-hi,"[('2013_Validation_GEO_Allegany_R0013132.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013134.png', 'SIGN')]",missed,0.2378247109658254,0.604074761866303,1.0,1.0,1.0,2630.1415131658837,41.68115856877491,76.11341999515419,68.26044809089224,26.579289522117335,26.579289522117335,62.823775234095514,36.244485711978186,22.350766189053214,2630.1415131658837,41.68115856877491,76.11341999515419,68.26044809089224,26.579289522117335,76.85915178097635,17.783859975983976,39.20673198818316
AF-13-lo,"[('2013_Validation_GEO_Allegany_R0013138.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013140.png', 'SIGN')]",missed,0.21724420639160924,0.5518002805928056,1.0,0.9958600837534456,1.0,3235.756845396212,37.52241908031078,72.28583675765753,68.9750350741007,31.45261599378992,31.452615993789923,76.21210798495251,44.759491991162584,31.452615993789923,3235.756845396212,37.52241908031078,72.28583675765753,68.9750350741007,31.45261599378992,98.81130734227126,29.382372995711137,64.77709702929315
AF-14-hi,"[('2013_Validation_GEO_Allegany_R0013144.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013146.png', 'SIGN')]",missed,0.21253122168482622,0.5398292995165852,1.0,0.9985429187035212,1.0,3785.2830482102954,33.46941657002828,77.73541913038827,66.93883314005656,33.46941657002828,33.46941657002828,70.28577479705937,36.8163582270311,28.449004084524034,3785.2830482102954,33.46941657002828,77.73541913038827,66.93883314005656,33.46941657002828,97.26122772511202,36.19329759862324,79.79262773290367
AF-14-lo,"[('2013_Validation_GEO_Allegany_R0013150.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013152.png', 'SIGN')]",missed,0.2222222222222222,0.564444440719111,1.0,0.996258885147774,1.0,3978.7688626290137,41.768888613214216,76.7644439377991,79.02222170067554,37.25333308746133,37.25333308746133,83.66732185216725,46.41398876470592,32.97836043808052,3978.7688626290137,41.768888613214216,76.7644439377991,79.02222170067554,37.25333308746133,110.31968621450606,36.93209366923288,81.42139559170549
AF-15-hi,"[('2013_Validation_GEO_Allegany_R0013156.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013158.png', 'SIGN')]",missed,0.23809523809523808,0.6047619007704762,1.0,0.9910490511994271,1.0,3492.4999769495003,40.51904735162191,78.01428519939142,74.99047569553905,34.47142834391715,34.47142834391714,88.33303513128767,53.86160678737053,38.78035688690679,3492.4999769495003,40.51904735162191,78.01428519939142,74.99047569553905,34.47142834391715,115.06363517174688,33.48551720118655,73.82298894421982
AF-15-lo,"[('2013_Validation_GEO_Allegany_R0013162.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013164.png', 'SIGN')]",missed,0.20473362152114744,0.52002339523156,1.0,0.9897048775274333,1.0,3585.041286726375,41.08184822329324,80.08360286566025,70.72318175149216,29.641333528198924,29.641333528198924,59.28266705639785,29.641333528198924,22.54411282426397,3585.041286726375,41.08184822329324,80.08360286566025,70.72318175149216,29.641333528198924,81.97270744260085,24.783069758201364,54.637360796048796
AF-16-hi,"[('2013_Validation_GEO_Allegany_R0013168.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013170.png', 'SIGN')]",missed,0.21427477872955975,0.5442579343809794,1.0,0.9991652058036437,1.0,3126.7618330187265,34.2882498660017,72.38630527267026,64.22243625695556,29.934186390953865,29.934186390953865,64.8574038470667,34.923217456112845,29.934186390953865,3126.7618330187265,34.2882498660017,72.38630527267026,64.22243625695556,29.934186390953865,94.04102005700821,28.43735879990816,62.69369565580557
AF-16-lo,"[('2013_Validation_GEO_Allegany_R0013175.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013177.png', 'SIGN')]",missed,0.2158890570855356,0.5483582013780963,1.0,0.9912060217039091,1.0,2830.076677312355,32.353133881307684,67.99641697088394,61.41611855434679,29.062984673039104,29.062984673039097,62.27782429936949,33.214839626330395,24.44981250271543,2830.0766773123546,32.35313388130768,67.99641697088393,61.416118554346774,29.0629846730391,84.05770524019553,24.70949591183139,54.4751580976547
AF-17-hi,"[('2013_Validation_GEO_Allegany_R0013181.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013183.png', 'SIGN')]",missed,0.21731154227164773,0.5519713137269745,1.0,1.0,1.0,3193.1540499105477,41.94981984325006,70.10035684332576,73.96415603941459,32.01433619616452,32.01433619616452,74.51612735314156,42.501791156977035,29.254479627529648,3193.1540499105477,41.94981984325006,70.10035684332576,73.96415603941459,32.01433619616452,96.24083084293184,26.996541071260573,59.51723370619538
AF-17-lo,"[('2013_Validation_GEO_Allegany_R0013188.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013190.png', 'SIGN')]",missed,0.22449251882860094,0.5702109940612538,1.0,1.0,1.0,3128.177513420038,37.063714613981496,72.41679624577922,68.42531928735045,31.361604673368955,31.361604673368955,71.84658525171797,40.48498057834902,26.799916720878926,3128.177513420038,37.063714613981496,72.41679624577922,68.42531928735045,31.361604673368955,91.35990416688736,25.737161071394837,56.74077380420033
AF-18-hi,"[('2013_Validation_GEO_Allegany_R0013196.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013198.png', 'SIGN')]",missed,0.1822008841480282,0.46279024268157604,1.0,0.998155713211982,1.0,4213.242369373068,40.262751113297114,74.50922907173374,73.58364858637059,33.32089747307347,33.32089747307347,71.02612356102503,37.70522608795156,22.360075935878253,4213.242369373068,40.262751113297114,74.50922907173374,73.58364858637059,33.32089747307347,87.46346850314568,34.84244110330973,76.81449651517163
AF-18-lo,"[('2013_Validation_GEO_Allegany_R0013202.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013204.png', 'SIGN')]",missed,0.20833333333333334,0.5291666631741667,1.0,0.9947390572390572,1.0,3977.216640417037,47.62499968567501,76.72916616025418,82.54999945517001,34.924999769495,34.924999769495,75.0415535587798,40.116553789284794,23.59797281722635,3977.216640417037,47.62499968567501,76.72916616025418,82.54999945517001,34.924999769495,91.92767037234032,30.53113172957708,67.3096785868734
AF-19-hi,"[('2013_Validation_GEO_Allegany_R0013211.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013213.png', 'SIGN')]",missed,0.22581219524023685,0.573562972124686,1.0,0.9969557523869126,1.0,4677.979600648939,45.311474797850195,88.90226067932633,83.74019393020416,38.42871913235396,38.428719132353955,71.44494261226369,33.01622347990973,25.43872956648783,4677.979600648939,45.311474797850195,88.90226067932633,83.74019393020416,38.42871913235396,100.32275381790217,38.50646242456053,84.89228739607518
AF-19-lo,"[('2013_Validation_GEO_Allegany_R0013219.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013221.png', 'SIGN')]",missed,0.2222222222222222,0.564444440719111,1.0,0.9985686169261049,1.0,4893.733301034693,43.46222193537155,90.31111051505776,82.40888834499022,38.946666409618665,38.946666409618665,82.83023419510448,43.88356778548582,27.427229865928638,4893.733301034693,43.46222193537155,90.31111051505776,82.40888834499022,38.946666409618665,104.25987246469518,41.31000465567688,91.07304506181079
